X,Y,Lable
23,67,TRUE
89,12,FALSE
45,78,TRUE
10,34,TRUE
76,55,FALSE
33,89,TRUE
5,21,TRUE
91,4,FALSE
67,60,FALSE
28,93,TRUE
52,17,FALSE
74,82,FALSE
19,5,TRUE
88,71,FALSE
36,44,TRUE
61,29,FALSE
4,98,TRUE
77,37,FALSE
50,50,FALSE
95,13,FALSE
22,76,TRUE
68,88,FALSE
14,25,TRUE
81,63,FALSE
39,91,TRUE
57,8,FALSE
72,47,FALSE
5,66,TRUE
99,30,FALSE
41,73,FALSE
64,19,FALSE
27,54,TRUE
83,85,FALSE
11,10,TRUE
58,97,FALSE
70,22,FALSE
32,40,TRUE
94,69,FALSE
16,81,TRUE
49,3,FALSE
65,58,FALSE
87,74,FALSE
20,15,TRUE
79,92,FALSE
35,48,TRUE
53,6,FALSE
86,33,FALSE
12,79,TRUE
60,87,FALSE
29,26,TRUE
97,52,FALSE
43,11,FALSE
75,64,FALSE
18,95,TRUE
51,42,FALSE
84,7,FALSE
30,83,TRUE
66,36,FALSE
24,59,TRUE
92,20,FALSE
38,77,TRUE
55,90,FALSE
78,14,FALSE
13,61,TRUE
69,80,FALSE
26,38,TRUE
82,57,FALSE
47,4,FALSE
59,72,FALSE
71,28,FALSE
34,99,TRUE
90,65,FALSE
21,16,TRUE
73,86,FALSE
40,53,TRUE
85,31,FALSE
17,70,TRUE
62,94,FALSE
25,45,TRUE
96,18,FALSE
42,62,TRUE
54,75,FALSE
80,8,FALSE
31,51,TRUE
63,39,FALSE
15,84,TRUE
56,27,FALSE
93,73,FALSE
37,60,TRUE
76,49,FALSE
22,91,TRUE
48,12,FALSE
89,82,FALSE
10,35,TRUE
